Stop_ID,Latitude,Longitude,Address
154,53.377281,-6.275535,"42-44 Old Finglas Rd, Dublin, Ireland"
155,53.377964,-6.279557,"Facefield, Old Finglas Rd, Ballygall, Dublin 11, Ireland"
156,53.378601,-6.281592,"Rere of 6, Tolka Cottages, Ballygall, Dublin 11, Ireland"
157,53.380394,-6.281627,"Naomh Padraig, Tolka Estate, Finglas East, Dublin 11, Ireland"
158,53.381325,-6.283658,"28-30 Griffith Rd, Ballygall, Dublin, Ireland"
159,53.382717,-6.282802,"76-88 Griffith Parade, Ballygall, Dublin, Ireland"
164,53.388462,-6.280463,"64-72 Beneavin Rd, Ballygall, Dublin, Ireland"
165,53.389061,-6.28375,"25-27 Beneavin Rd, Ballygall, Dublin, Ireland"
166,53.389648,-6.286276,"7-9 Beneavin Rd, Ballygall, Dublin, Ireland"
167,53.390114,-6.287035,"1 Beneavin Rd, Dublin, Ireland"
168,53.389183,-6.284427,"San Antoine, Beneavin Park, Finglas East, Dublin 11, Ireland"
169,53.388401,-6.280106,"64-72 Beneavin Rd, Ballygall, Dublin, Ireland"
173,53.382141,-6.280605,"3 Glasnamana Pl, Ballygall, Dublin, Ireland"
174,53.380695,-6.281037,"Lemybrian, Tolka Estate, Ballygall, Dublin 11, Ireland"
175,53.378452,-6.281638,"Tolka Estate, Ballygall, Dublin, Ireland"
176,53.377949,-6.279288,"91-111 Old Finglas Rd, Ballygall, Dublin, Ireland"
177,53.380463,-6.276159,"31-65 Ballygall Rd E, Ballygall, Dublin, Ireland"
178,53.381901,-6.27628,"64-68 Ballygall Rd E, Ballygall, Dublin, Ireland"
179,53.380318,-6.276173,"31-65 Ballygall Rd E, Ballygall, Dublin, Ireland"
181,53.376984,-6.274248,"28-30 Old Finglas Rd, Dublin, Ireland"
182,53.375595,-6.269908,"66 Glasnevin Hill, Botanic, Dublin, Ireland"
183,53.372383,-6.268814,"181-183 Botanic Rd, Botanic, Dublin, Ireland"
184,53.369736,-6.269024,"Saint Joseph's, Botanic Rd, Drumcondra, Dublin 9, Ireland"
185,53.368137,-6.27009,"57-71 Botanic Rd, Botanic, Dublin, Ireland"
186,53.365372,-6.271678,"13 Botanic Rd, Botanic, Dublin, Ireland"
187,53.362782,-6.27256,"131-134 Phibsborough Rd, Cabra East, Dublin, Ireland"
188,53.360115,-6.27267,"55-56 Phibsborough Rd, Arran Quay, Dublin, Ireland"
189,53.357182,-6.273563,"14-26 Phibsborough Rd, Arran Quay, Dublin, Ireland"
190,53.35511,-6.273461,"243 Phibsborough Rd, Arran Quay, Dublin, Ireland"
191,53.354958,-6.26939,"Western Way, Inns Quay, Dublin, Ireland"
192,53.35648,-6.268058,"Cian House, Mountjoy St, Phibsborough, Dublin 7, Ireland"
193,53.391239,-6.294129,"4-6 McKee Rd, Finglas North, Dublin, Ireland"
194,53.355064,-6.269965,"52 Western Way, Inns Quay, Dublin, Ireland"
195,53.355,-6.2735,"212-244 Phibsborough Rd, Arran Quay, Dublin, Ireland"
196,53.356876,-6.27359,"137-173 Phibsborough Rd, Arran Quay, Dublin, Ireland"
197,53.358894,-6.273111,"194-195 Phibsborough Rd, Arran Quay, Dublin, Ireland"
198,53.361622,-6.272702,"149-152 Phibsborough Rd, Cabra East, Dublin, Ireland"
199,53.36356,-6.27218,"105 Phibsborough Rd, Cabra East, Dublin, Ireland"
200,53.367348,-6.271604,"Harts House, Finglas Rd, Cabra East, Dublin 11, Ireland"
201,53.368233,-6.270031,"73-77 Botanic Rd, Botanic, Dublin, Ireland"
202,53.369972,-6.268806,"Torwood, Botanic Rd, Drumcondra, Dublin 9, Ireland"
203,53.376286,-6.249843,"190-192 Drumcondra Rd Upper, Whitehall, Dublin, Ireland"
204,53.379551,-6.246595,"77 Swords Rd, Whitehall, Dublin, Ireland"
205,53.381317,-6.245199,"Flat 2, Swords Rd, Whitehall, Dublin 9, Ireland"
206,53.383549,-6.247456,"495-497 Collins Ave W, Whitehall, Dublin, Ireland"
207,53.38665,-6.24805,"27 Glendun Rd, Whitehall, Dublin, Ireland"
208,53.38665,-6.248034,"27 Glendun Rd, Whitehall, Dublin, Ireland"
209,53.387344,-6.245855,"254-255 Larkhill Rd, Whitehall, Dublin, Ireland"
210,53.387554,-6.24833,"231-232 Larkhill Rd, Whitehall, Dublin, Ireland"
211,53.384197,-6.249185,"531-533 Collins Ave W, Whitehall, Dublin, Ireland"
212,53.383114,-6.24629,"481 Collins Ave W, Whitehall, Dublin, Ireland"
213,53.381519,-6.245068,"Saint Pius, Swords Rd, Whitehall, Dublin 9, Ireland"
214,53.379311,-6.246649,"73-77 Swords Rd, Whitehall, Dublin, Ireland"
215,53.381821,-6.242445,"Oaklands, Collins Ave, Whitehall, Dublin 9, Ireland"
216,53.38229,-6.238126,"Saint Martin, Beaumont Rd, Beaumont, Dublin 9, Ireland"
217,53.384232,-6.236683,"73-75 Beaumont Rd, Dublin, Ireland"
218,53.385593,-6.233559,"Beaumont Filling Station, Beaumont Rd, Beaumont, Dublin 9, Ireland"
219,53.387859,-6.238386,"Shantalla Road Post Office, Shantalla Rd, Beaumont, Dublin 9, Ireland"
220,53.387997,-6.244926,"219-237 Swords Rd, Whitehall, Dublin, Ireland"
221,53.389744,-6.246867,"Ailesbury, Shanowen Rd, Whitehall, Dublin 9, Ireland"
222,53.389946,-6.249237,"5-13 Shanliss Rd, Whitehall, Dublin, Ireland"
223,53.391087,-6.251772,"Chez Nous, Shanliss Rd, Whitehall, Dublin 9, Ireland"
224,53.390812,-6.254257,"2-54 Shanard Rd, Dublin, Ireland"
225,53.390694,-6.257411,"Mountcarmel, Shanard Rd, Whitehall, Dublin 9, Ireland"
